Age,Gender,Current_status,Field_of_study,Hours_slept,Work_hours,Hobby_hours,Commute_time,Number_of_tasks,Task_difficulty,Social_interaction_hours,Social_interaction_quality,Stressful_event,Stress_type,Home_environment,Stress_scale,Overthinking,Stress_under_pressure
<18,Male,Both,Biology,5.8,10,6.8,< 30 min,11,Easy,8,Medium,Yes,"Transportation problem / car issue, Bad weather, Health-related stress",Satisfied,7,Often,Highly stressed
18-24,Female,Student,Law,7.3,0,1.9,< 30 min,2,Easy,4,Medium,No,None,Satisfied,4,Often,Slightly stressed
25-35,Female,Student,Business,8.3,2,3.2,1 hour,3,Moderate,9,Medium,Yes,Financial stress,Dissatisfied,7,Rarely,Slightly stressed
25-35,Female,Student,Computer Science,6.2,2,5.9,30-60 min,2,Hard,10,Medium,Yes,Personal disappointment,Dissatisfied,7,Rarely,Slightly stressed
25-35,Male,Neither,None,7.9,1,1.1,30-60 min,2,Hard,1,Low,No,None,Satisfied,5,Often,Slightly stressed
18-24,Male,Student,Biology,7.7,3,4.2,30-60 min,2,Hard,7,Medium,Yes,"Financial stress, Arguing/conflict with someone",Satisfied,6,Never,Slightly stressed
18-24,Female,Student,Arts,7.8,3,2.1,1 hour,5,Moderate,7,Medium,No,None,Satisfied,1,Never,Slightly stressed
18-24,Female,Employee,Teaching,7.1,9,1.8,1 hour,5,Moderate,7,Medium,Yes,"Academic/work failure or poor performance, Personal disappointment",Satisfied,7,Rarely,Not stressed
18-24,Male,Employee,Engineering,5.1,7,3.3,30-60 min,8,Moderate,5,Low,Yes,"Arguing/conflict with someone, Financial stress, Bad weather",Satisfied,8,Rarely,Slightly stressed
25-35,Female,Student,Business,8.3,3,2.9,< 30 min,3,Easy,9,Medium,No,None,Satisfied,3,Rarely,Slightly stressed
18-24,Female,Employee,Administration,6.1,7,1.0,< 30 min,7,Moderate,1,Low,Yes,"Transportation problem / car issue, Bad weather, Arguing/conflict with someone",Dissatisfied,4,Often,Highly stressed
25-35,Female,Employee,Administration,7.8,8,1.7,30-60 min,10,Easy,1,High,Yes,"Transportation problem / car issue, Financial stress, Health-related stress",Satisfied,6,Often,Highly stressed
25-35,Female,Student,Business,8.0,3,2.2,1 hour,3,Moderate,9,Medium,Yes,"Health-related stress, Personal disappointment",Dissatisfied,8,Rarely,Highly stressed
18-24,Female,Employee,Other,6.0,9,0.7,30-60 min,7,Easy,9,High,No,None,Satisfied,5,Rarely,Slightly stressed
25-35,Female,Both,Medicine,5.5,11,1.4,30-60 min,11,Easy,9,High,Yes,"Financial stress, Personal disappointment",Satisfied,3,Rarely,Not stressed
25-35,Female,Student,Education,8.5,1,1.4,< 30 min,5,Easy,9,Low,No,None,Dissatisfied,3,Almost always,Slightly stressed
18-24,Male,Both,Psychology,4.0,10,3.2,1 hour,9,Moderate,3,Medium,No,None,Dissatisfied,5,Often,Slightly stressed
18-24,Male,Employee,Customer Service,6.2,6,5.1,1 hour,10,Moderate,5,High,No,None,Satisfied,3,Never,Highly stressed
18-24,Male,Student,Psychology,8.2,0,4.7,< 30 min,7,Moderate,10,Low,Yes,Bad weather,Satisfied,8,Rarely,Slightly stressed
25-35,Male,Employee,Administration,6.5,7,5.9,> 2 hours,5,Easy,6,Medium,No,None,Satisfied,1,Almost always,Slightly stressed
18-24,Female,Employee,Finance,7.7,7,4.9,30-60 min,6,Moderate,10,Medium,Yes,"Bad weather, Personal disappointment",Satisfied,6,Often,Highly stressed
25-35,Male,Employee,Customer Service,7.3,8,4.3,> 2 hours,7,Hard,6,Medium,Yes,"Personal disappointment, Financial stress, Arguing/conflict with someone",Satisfied,4,Often,Slightly stressed
18-24,Male,Employee,IT,7.1,9,2.9,30-60 min,8,Moderate,9,Low,No,None,Satisfied,2,Rarely,Slightly stressed
25-35,Male,Student,Business,7.7,1,3.3,< 30 min,5,Easy,2,Medium,Yes,"Arguing/conflict with someone, Transportation problem / car issue",Satisfied,6,Often,Highly stressed
25-35,Male,Employee,Customer Service,5.3,9,4.6,> 2 hours,5,Moderate,2,Medium,No,None,Satisfied,5,Rarely,Slightly stressed
36+,Female,Employee,Teaching,5.6,8,1.8,30-60 min,10,Moderate,6,High,Yes,Personal disappointment,Satisfied,3,Almost always,Slightly stressed
25-35,Male,Student,Arts,5.1,0,6.4,< 30 min,7,Moderate,9,High,Yes,"Bad weather, Academic/work failure or poor performance, Health-related stress",Satisfied,5,Rarely,Highly stressed
<18,Male,Student,Biology,7.0,1,5.5,30-60 min,5,Easy,2,Medium,Yes,"Personal disappointment, Transportation problem / car issue",Satisfied,9,Often,Highly stressed
36+,Male,Student,Engineering,8.5,1,3.3,30-60 min,7,Moderate,7,Low,No,None,Satisfied,1,Rarely,Not stressed
25-35,Male,Student,Medicine,8.5,0,5.2,< 30 min,6,Moderate,1,Medium,Yes,"Financial stress, Arguing/conflict with someone, Transportation problem / car issue",Satisfied,6,Never,Slightly stressed
<18,Male,Neither,None,7.7,2,2.6,< 30 min,2,Easy,10,Medium,No,None,Satisfied,4,Rarely,Slightly stressed
36+,Male,Student,Arts,9.0,2,2.5,< 30 min,2,Easy,2,Low,No,None,Satisfied,3,Rarely,Slightly stressed
18-24,Female,Employee,Other,6.6,6,6.2,1 hour,9,Moderate,9,High,Yes,Transportation problem / car issue,Dissatisfied,4,Often,Slightly stressed
25-35,Male,Student,Medicine,7.7,0,4.1,30-60 min,2,Easy,4,High,Yes,Personal disappointment,Satisfied,4,Often,Slightly stressed
36+,Male,Both,Arts,5.7,9,6.0,< 30 min,8,Easy,7,Medium,No,None,Satisfied,1,Rarely,Not stressed
<18,Female,Student,Business,7.4,0,3.9,< 30 min,6,Easy,10,Low,No,None,Dissatisfied,1,Often,Not stressed
18-24,Female,Student,Law,8.0,2,4.7,1 hour,7,Easy,4,Medium,No,None,Satisfied,5,Rarely,Slightly stressed
25-35,Female,Neither,None,6.4,1,3.5,> 2 hours,4,Easy,1,High,Yes,"Health-related stress, Transportation problem / car issue, Arguing/conflict with someone",Satisfied,3,Almost always,Not stressed
18-24,Female,Student,Biology,8.7,3,2.9,< 30 min,7,Easy,8,Medium,No,None,Dissatisfied,2,Often,Highly stressed
18-24,Male,Employee,Teaching,5.3,9,5.1,30-60 min,9,Easy,1,Medium,Yes,"Academic/work failure or poor performance, Personal disappointment, Transportation problem / car issue",Dissatisfied,6,Often,Highly stressed
18-24,Male,Student,Computer Science,6.5,2,2.6,< 30 min,2,Moderate,2,Low,Yes,"Academic/work failure or poor performance, Financial stress",Dissatisfied,4,Often,Slightly stressed
25-35,Female,Student,Arts,5.9,3,2.4,1 hour,7,Moderate,3,Medium,Yes,"Academic/work failure or poor performance, Health-related stress",Satisfied,3,Almost always,Highly stressed
18-24,Male,Employee,Freelancing,7.6,7,5.3,> 2 hours,7,Moderate,6,Medium,No,None,Dissatisfied,4,Often,Not stressed
18-24,Female,Student,Medicine,5.1,2,1.4,< 30 min,7,Moderate,1,Low,No,None,Satisfied,4,Rarely,Not stressed
18-24,Female,Employee,Teaching,7.8,9,3.8,1 hour,11,Hard,4,Low,No,None,Satisfied,5,Never,Not stressed
18-24,Male,Employee,Engineering,7.6,6,1.9,< 30 min,11,Hard,4,Medium,Yes,"Academic/work failure or poor performance, Personal disappointment, Bad weather",Satisfied,7,Rarely,Highly stressed
18-24,Female,Both,Administration,5.0,9,1.7,30-60 min,14,Easy,3,Low,No,None,Satisfied,1,Almost always,Not stressed
25-35,Female,Student,Engineering,6.8,0,2.6,< 30 min,7,Moderate,2,High,Yes,Health-related stress,Satisfied,5,Rarely,Highly stressed
25-35,Female,Both,Engineering,6.6,9,6.2,30-60 min,11,Easy,7,Medium,No,None,Dissatisfied,5,Rarely,Slightly stressed
<18,Female,Student,Engineering,5.7,3,1.1,1 hour,6,Hard,10,High,No,None,Dissatisfied,2,Almost always,Slightly stressed
36+,Female,Both,Law,4.1,11,1.5,30-60 min,14,Easy,1,Medium,Yes,Bad weather,Satisfied,8,Almost always,Slightly stressed
18-24,Female,Both,Customer Service,6.8,9,1.9,1 hour,10,Moderate,8,Medium,Yes,"Academic/work failure or poor performance, Bad weather",Satisfied,9,Almost always,Highly stressed
25-35,Male,Both,Medicine,5.5,8,4.3,1 hour,14,Moderate,1,High,Yes,Bad weather,Satisfied,8,Rarely,Slightly stressed
25-35,Female,Student,Arts,7.8,1,1.0,< 30 min,3,Moderate,3,Medium,Yes,Bad weather,Dissatisfied,4,Almost always,Highly stressed
18-24,Female,Student,Engineering,5.4,1,6.1,< 30 min,4,Easy,4,Medium,No,None,Satisfied,4,Almost always,Highly stressed
18-24,Female,Student,Psychology,6.1,0,6.0,> 2 hours,6,Easy,8,Medium,Yes,"Transportation problem / car issue, Academic/work failure or poor performance, Arguing/conflict with someone",Satisfied,4,Often,Slightly stressed
36+,Male,Student,Engineering,8.4,0,2.5,< 30 min,2,Easy,6,Medium,No,None,Satisfied,4,Often,Highly stressed
18-24,Male,Student,Business,8.2,0,1.3,1 hour,3,Hard,3,Medium,No,None,Satisfied,1,Rarely,Slightly stressed
<18,Female,Employee,Administration,7.5,7,5.4,> 2 hours,5,Easy,2,High,Yes,Arguing/conflict with someone,Satisfied,6,Often,Slightly stressed
25-35,Female,Employee,Healthcare,5.4,9,5.1,< 30 min,7,Moderate,2,Medium,Yes,"Health-related stress, Personal disappointment, Financial stress",Dissatisfied,5,Rarely,Slightly stressed
18-24,Female,Both,Biology,5.9,9,3.9,30-60 min,8,Moderate,6,Medium,Yes,Bad weather,Satisfied,8,Rarely,Highly stressed
18-24,Female,Student,Medicine,6.4,3,6.1,30-60 min,3,Moderate,9,Medium,Yes,"Arguing/conflict with someone, Personal disappointment, Transportation problem / car issue",Dissatisfied,9,Often,Highly stressed
<18,Female,Student,Medicine,5.5,2,6.5,1 hour,6,Moderate,8,Low,No,None,Satisfied,5,Often,Slightly stressed
25-35,Female,Both,Medicine,5.9,8,2.4,> 2 hours,9,Easy,8,Medium,Yes,"Transportation problem / car issue, Personal disappointment, Financial stress",Satisfied,3,Never,Slightly stressed
25-35,Female,Neither,None,8.9,0,6.9,1 hour,2,Moderate,2,High,Yes,"Personal disappointment, Academic/work failure or poor performance",Satisfied,3,Rarely,Slightly stressed
25-35,Male,Employee,Healthcare,8.0,8,3.6,30-60 min,8,Moderate,6,Medium,No,None,Dissatisfied,5,Often,Slightly stressed
36+,Female,Student,Business,5.5,0,0.5,< 30 min,6,Hard,9,Medium,No,None,Dissatisfied,2,Almost always,Not stressed
18-24,Male,Employee,Engineering,7.1,9,2.3,30-60 min,7,Moderate,3,High,No,None,Dissatisfied,1,Often,Highly stressed
18-24,Female,Employee,Engineering,6.0,7,4.4,1 hour,8,Moderate,5,Medium,Yes,"Transportation problem / car issue, Personal disappointment, Academic/work failure or poor performance",Satisfied,8,Rarely,Highly stressed
<18,Female,Both,Law,5.5,10,6.1,> 2 hours,14,Moderate,10,Low,Yes,"Academic/work failure or poor performance, Arguing/conflict with someone, Financial stress",Dissatisfied,9,Often,Slightly stressed
18-24,Male,Student,Law,7.5,2,3.9,< 30 min,3,Hard,9,Low,No,None,Dissatisfied,5,Rarely,Highly stressed
<18,Female,Employee,Other,7.8,6,1.6,1 hour,9,Hard,4,Medium,Yes,"Personal disappointment, Financial stress",Satisfied,8,Rarely,Slightly stressed
18-24,Female,Student,Engineering,5.6,3,5.0,30-60 min,7,Moderate,5,High,Yes,Financial stress,Satisfied,8,Almost always,Slightly stressed
18-24,Female,Employee,Finance,5.6,9,4.3,30-60 min,6,Easy,4,Medium,No,None,Satisfied,5,Often,Highly stressed
18-24,Male,Neither,None,6.9,0,1.8,1 hour,1,Hard,7,High,Yes,"Personal disappointment, Health-related stress",Satisfied,8,Rarely,Slightly stressed
18-24,Male,Student,Law,6.7,3,5.1,< 30 min,2,Moderate,9,Medium,No,None,Dissatisfied,5,Often,Slightly stressed
18-24,Female,Employee,Healthcare,7.8,6,6.9,1 hour,6,Easy,4,Medium,No,None,Dissatisfied,5,Never,Highly stressed
18-24,Male,Student,Psychology,5.9,0,5.6,< 30 min,2,Moderate,4,Medium,Yes,Personal disappointment,Satisfied,5,Often,Slightly stressed
18-24,Male,Employee,Engineering,6.3,9,4.9,30-60 min,7,Moderate,2,Medium,Yes,Health-related stress,Satisfied,5,Never,Slightly stressed
18-24,Female,Student,Arts,6.8,2,6.2,30-60 min,7,Easy,1,High,Yes,"Personal disappointment, Transportation problem / car issue, Arguing/conflict with someone",Dissatisfied,5,Often,Slightly stressed
25-35,Male,Student,Law,5.4,0,4.2,1 hour,4,Moderate,2,High,No,None,Dissatisfied,1,Rarely,Slightly stressed
36+,Male,Employee,Freelancing,5.0,7,1.1,1 hour,11,Moderate,6,Medium,No,None,Satisfied,5,Never,Not stressed
25-35,Male,Employee,Teaching,7.4,8,4.5,< 30 min,10,Easy,6,Medium,Yes,Health-related stress,Satisfied,6,Never,Slightly stressed
25-35,Female,Employee,Freelancing,7.9,6,6.6,30-60 min,9,Easy,9,Medium,Yes,Personal disappointment,Satisfied,4,Almost always,Slightly stressed
18-24,Female,Student,Law,7.4,1,2.1,> 2 hours,4,Moderate,5,High,Yes,"Arguing/conflict with someone, Transportation problem / car issue, Health-related stress",Satisfied,5,Often,Slightly stressed
18-24,Female,Student,Business,5.3,2,1.8,> 2 hours,3,Hard,7,Medium,Yes,"Bad weather, Transportation problem / car issue, Academic/work failure or poor performance",Satisfied,7,Often,Slightly stressed
25-35,Male,Employee,Healthcare,6.3,8,3.9,30-60 min,7,Moderate,6,Medium,Yes,"Transportation problem / car issue, Academic/work failure or poor performance, Bad weather",Satisfied,9,Rarely,Slightly stressed
36+,Female,Both,Other,4.9,9,3.4,30-60 min,14,Hard,3,Medium,No,None,Satisfied,3,Almost always,Slightly stressed
18-24,Male,Student,Biology,5.7,3,2.3,30-60 min,4,Hard,2,Low,Yes,"Financial stress, Transportation problem / car issue",Dissatisfied,8,Never,Slightly stressed
18-24,Female,Employee,Engineering,5.1,8,6.0,> 2 hours,9,Moderate,2,Low,No,None,Satisfied,1,Often,Highly stressed
<18,Female,Employee,Administration,5.1,6,3.3,30-60 min,8,Moderate,7,Low,Yes,"Academic/work failure or poor performance, Personal disappointment",Satisfied,4,Rarely,Highly stressed
25-35,Female,Student,Medicine,5.4,3,0.7,< 30 min,4,Easy,8,Low,Yes,"Academic/work failure or poor performance, Personal disappointment",Satisfied,4,Often,Slightly stressed
36+,Male,Both,Customer Service,6.3,10,6.0,< 30 min,13,Easy,8,Low,Yes,"Bad weather, Transportation problem / car issue, Health-related stress",Dissatisfied,9,Rarely,Highly stressed
18-24,Male,Student,Business,6.1,2,3.0,< 30 min,2,Hard,7,High,No,None,Satisfied,1,Often,Highly stressed
36+,Male,Employee,Freelancing,5.1,9,4.9,> 2 hours,7,Moderate,7,Low,No,None,Satisfied,5,Almost always,Slightly stressed
36+,Male,Employee,Administration,5.3,9,3.8,> 2 hours,6,Easy,10,High,No,None,Satisfied,2,Often,Highly stressed
18-24,Female,Employee,Healthcare,7.3,9,6.6,1 hour,5,Hard,2,High,No,None,Dissatisfied,3,Often,Slightly stressed
18-24,Male,Employee,Teaching,5.2,8,3.7,< 30 min,10,Easy,6,High,Yes,"Transportation problem / car issue, Personal disappointment",Satisfied,5,Never,Highly stressed
36+,Female,Student,Engineering,8.3,3,5.8,< 30 min,5,Hard,7,High,Yes,Financial stress,Dissatisfied,4,Often,Highly stressed
36+,Female,Employee,Teaching,6.3,9,6.8,< 30 min,5,Moderate,6,High,Yes,Financial stress,Satisfied,3,Often,Slightly stressed
18-24,Female,Student,Biology,8.6,2,2.1,30-60 min,7,Moderate,1,High,Yes,"Academic/work failure or poor performance, Arguing/conflict with someone, Transportation problem / car issue",Satisfied,7,Almost always,Slightly stressed
25-35,Female,Student,Medicine,5.5,0,1.7,1 hour,4,Easy,4,Low,Yes,Financial stress,Satisfied,4,Often,Not stressed
18-24,Male,Student,Medicine,6.8,3,4.6,< 30 min,4,Moderate,9,Low,No,None,Satisfied,3,Never,Slightly stressed
<18,Male,Both,Customer Service,4.6,8,1.5,1 hour,10,Hard,2,High,No,None,Satisfied,5,Never,Slightly stressed
18-24,Female,Student,Business,6.2,2,4.4,1 hour,5,Easy,9,Medium,No,None,Satisfied,4,Often,Highly stressed
18-24,Male,Both,Engineering,5.6,9,0.6,1 hour,8,Hard,4,High,Yes,"Bad weather, Personal disappointment",Dissatisfied,4,Almost always,Not stressed
18-24,Female,Student,Biology,8.7,0,0.8,1 hour,5,Easy,9,High,Yes,Academic/work failure or poor performance,Dissatisfied,4,Rarely,Slightly stressed
18-24,Female,Employee,Administration,5.4,8,3.4,30-60 min,7,Moderate,5,High,Yes,"Academic/work failure or poor performance, Personal disappointment, Arguing/conflict with someone",Satisfied,4,Rarely,Slightly stressed
25-35,Male,Employee,Other,5.2,6,2.3,30-60 min,7,Hard,10,High,Yes,Personal disappointment,Dissatisfied,7,Rarely,Not stressed
18-24,Female,Student,Arts,7.6,2,4.3,< 30 min,7,Easy,1,Medium,No,None,Dissatisfied,2,Never,Not stressed
25-35,Male,Both,IT,5.1,10,4.7,1 hour,10,Moderate,6,Medium,Yes,"Academic/work failure or poor performance, Health-related stress",Satisfied,3,Never,Slightly stressed
18-24,Female,Student,Arts,5.3,2,3.3,< 30 min,6,Easy,8,Medium,No,None,Satisfied,4,Rarely,Slightly stressed
18-24,Male,Student,Education,7.8,1,2.1,< 30 min,5,Hard,10,Medium,No,None,Satisfied,3,Almost always,Not stressed
25-35,Male,Both,Law,6.7,10,0.5,1 hour,14,Moderate,1,Medium,Yes,"Financial stress, Health-related stress, Transportation problem / car issue",Satisfied,6,Often,Highly stressed
18-24,Female,Employee,IT,6.8,8,5.3,1 hour,11,Moderate,4,Low,Yes,"Transportation problem / car issue, Bad weather",Dissatisfied,8,Almost always,Slightly stressed
18-24,Male,Student,Biology,8.5,0,2.2,30-60 min,2,Easy,9,Medium,No,None,Dissatisfied,3,Rarely,Slightly stressed
25-35,Male,Both,Teaching,5.0,8,1.9,30-60 min,9,Moderate,5,Medium,No,None,Satisfied,5,Often,Slightly stressed
25-35,Male,Employee,Teaching,6.2,9,5.5,< 30 min,8,Easy,3,Medium,No,None,Satisfied,3,Rarely,Slightly stressed
25-35,Male,Employee,IT,7.8,8,5.5,1 hour,7,Moderate,2,Medium,No,None,Satisfied,3,Often,Slightly stressed
25-35,Male,Employee,Freelancing,6.0,8,1.3,< 30 min,11,Moderate,3,High,Yes,"Bad weather, Financial stress, Arguing/conflict with someone",Satisfied,5,Often,Not stressed
25-35,Female,Student,Psychology,5.3,2,4.3,< 30 min,5,Easy,5,High,Yes,"Arguing/conflict with someone, Health-related stress",Satisfied,3,Never,Slightly stressed
25-35,Female,Student,Medicine,9.0,3,1.6,< 30 min,3,Easy,10,Medium,Yes,Arguing/conflict with someone,Dissatisfied,7,Rarely,Slightly stressed
36+,Female,Employee,Teaching,7.1,8,1.9,1 hour,6,Hard,5,Medium,Yes,Bad weather,Dissatisfied,6,Often,Slightly stressed
18-24,Female,Student,Medicine,6.9,2,6.2,> 2 hours,4,Easy,10,Low,No,None,Dissatisfied,5,Often,Slightly stressed
18-24,Female,Student,Biology,5.2,3,4.5,30-60 min,6,Moderate,1,High,Yes,"Personal disappointment, Health-related stress",Dissatisfied,5,Never,Highly stressed
18-24,Female,Neither,None,8.1,1,1.9,30-60 min,4,Easy,7,High,Yes,Personal disappointment,Satisfied,7,Almost always,Highly stressed
18-24,Male,Student,Engineering,8.8,3,3.0,< 30 min,4,Hard,1,High,No,None,Satisfied,1,Rarely,Not stressed
25-35,Female,Employee,Other,7.1,8,5.3,< 30 min,6,Easy,5,Medium,Yes,"Transportation problem / car issue, Bad weather, Health-related stress",Satisfied,5,Often,Highly stressed
25-35,Female,Student,Education,8.1,3,6.9,< 30 min,4,Moderate,3,Low,Yes,"Financial stress, Bad weather",Satisfied,8,Often,Highly stressed
25-35,Male,Student,Engineering,7.2,1,3.3,1 hour,4,Easy,2,Medium,Yes,"Transportation problem / car issue, Arguing/conflict with someone",Satisfied,4,Rarely,Slightly stressed
